name,key,country,value,year,units,row_idx,col_idx,source_model,source_image,source
Operating result after tax,Automotive Division,Worldwide,14078,2022,€ million,0,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar22_page_061_table_00_kpis.json
Operating result after tax,Automotive Division,Worldwide,11740,2021,€ million,0,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar22_page_061_table_00_kpis.json
Invested capital (average),Automotive Division,Worldwide,117412,2022,€ million,1,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar22_page_061_table_00_kpis.json
Invested capital (average),Automotive Division,Worldwide,113386,2021,€ million,1,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar22_page_061_table_00_kpis.json
Return on investment (ROI),Automotive Division,Worldwide,12.0,2022,%,2,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar22_page_061_table_00_kpis.json
Return on investment (ROI),Automotive Division,Worldwide,10.4,2021,%,2,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar22_page_061_table_00_kpis.json
Cost of capital,Automotive Division,Worldwide,8.3,2022,%,3,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar22_page_061_table_00_kpis.json
Cost of capital,Automotive Division,Worldwide,6.2,2021,%,3,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar22_page_061_table_00_kpis.json
Cost of invested capital,Automotive Division,Worldwide,9702,2022,€ million,4,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar22_page_061_table_00_kpis.json
Cost of invested capital,Automotive Division,Worldwide,6984,2021,€ million,4,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar22_page_061_table_00_kpis.json
Value contribution,Automotive Division,Worldwide,4376,2022,€ million,5,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar22_page_061_table_00_kpis.json
Value contribution,Automotive Division,Worldwide,4756,2021,€ million,5,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/gmr-management-report-vw-ar22_page_061_table_00_kpis.json
