name,key,country,value,year,units,row_idx,col_idx,source_model,source_image,source
Risk-free rate,Automotive Division,Worldwide,0.0,2019,%,0,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar19_page_078_table_00_kpis.json
Risk-free rate,Automotive Division,Worldwide,0.8,2018,%,0,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar19_page_078_table_00_kpis.json
Market risk premium,Automotive Division,Worldwide,7.5,2019,%,1,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar19_page_078_table_00_kpis.json
Market risk premium,Automotive Division,Worldwide,6.5,2018,%,1,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar19_page_078_table_00_kpis.json
Volkswagen-specific risk premium,Automotive Division,Worldwide,1.3,2019,%,2,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar19_page_078_table_00_kpis.json
Volkswagen-specific risk premium,Automotive Division,Worldwide,1.1,2018,%,2,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar19_page_078_table_00_kpis.json
Volkswagen beta factor,Automotive Division,Worldwide,-1.17,2019,,3,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar19_page_078_table_00_kpis.json
Volkswagen beta factor,Automotive Division,Worldwide,-1.17,2018,,3,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar19_page_078_table_00_kpis.json
Cost of equity after tax,Automotive Division,Worldwide,8.8,2019,%,4,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar19_page_078_table_00_kpis.json
Cost of equity after tax,Automotive Division,Worldwide,8.4,2018,%,4,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar19_page_078_table_00_kpis.json
Cost of debt,Automotive Division,Worldwide,1.9,2019,%,5,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar19_page_078_table_00_kpis.json
Cost of debt,Automotive Division,Worldwide,2.5,2018,%,5,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar19_page_078_table_00_kpis.json
Tax,Automotive Division,Worldwide,-0.6,2019,%,6,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar19_page_078_table_00_kpis.json
Tax,Automotive Division,Worldwide,-0.8,2018,%,6,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar19_page_078_table_00_kpis.json
Cost of debt after tax,Automotive Division,Worldwide,1.3,2019,%,7,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar19_page_078_table_00_kpis.json
Cost of debt after tax,Automotive Division,Worldwide,1.8,2018,%,7,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar19_page_078_table_00_kpis.json
Proportion of equity,Automotive Division,Worldwide,66.7,2019,%,8,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar19_page_078_table_00_kpis.json
Proportion of equity,Automotive Division,Worldwide,66.7,2018,%,8,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar19_page_078_table_00_kpis.json
Proportion of debt,Automotive Division,Worldwide,33.3,2019,%,9,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar19_page_078_table_00_kpis.json
Proportion of debt,Automotive Division,Worldwide,33.3,2018,%,9,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar19_page_078_table_00_kpis.json
Cost of capital after tax,Automotive Division,Worldwide,6.3,2019,%,10,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar19_page_078_table_00_kpis.json
Cost of capital after tax,Automotive Division,Worldwide,6.2,2018,%,10,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar19_page_078_table_00_kpis.json
