name,key,country,value,year,units,row_idx,col_idx,source_model,source_image,source
Total research and development costs,Automotive Division,Worldwide,13612,2015,€ million,0,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Total research and development costs,Automotive Division,Worldwide,13120,2014,€ million,0,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Total research and development costs,Automotive Division,Worldwide,11743,2013,€ million,0,3,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Total research and development costs,Automotive Division,Worldwide,9515,2012,€ million,0,4,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Total research and development costs,Automotive Division,Worldwide,7203,2011,€ million,0,5,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Capitalized development costs,Automotive Division,Worldwide,5021,2015,€ million,1,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Capitalized development costs,Automotive Division,Worldwide,4601,2014,€ million,1,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Capitalized development costs,Automotive Division,Worldwide,4021,2013,€ million,1,3,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Capitalized development costs,Automotive Division,Worldwide,2615,2012,€ million,1,4,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Capitalized development costs,Automotive Division,Worldwide,1666,2011,€ million,1,5,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Capitalization ratio,Automotive Division,Worldwide,36.9,2015,%,2,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Capitalization ratio,Automotive Division,Worldwide,35.1,2014,%,2,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Capitalization ratio,Automotive Division,Worldwide,34.2,2013,%,2,3,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Capitalization ratio,Automotive Division,Worldwide,27.5,2012,%,2,4,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Capitalization ratio,Automotive Division,Worldwide,23.1,2011,%,2,5,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Amortization of capitalized development costs,Automotive Division,Worldwide,3263,2015,€ million,3,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Amortization of capitalized development costs,Automotive Division,Worldwide,3026,2014,€ million,3,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Amortization of capitalized development costs,Automotive Division,Worldwide,2464,2013,€ million,3,3,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Amortization of capitalized development costs,Automotive Division,Worldwide,1951,2012,€ million,3,4,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Amortization of capitalized development costs,Automotive Division,Worldwide,1697,2011,€ million,3,5,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Research and development costs recognized in the income statement,Automotive Division,Worldwide,11853,2015,€ million,4,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Research and development costs recognized in the income statement,Automotive Division,Worldwide,11545,2014,€ million,4,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Research and development costs recognized in the income statement,Automotive Division,Worldwide,10186,2013,€ million,4,3,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Research and development costs recognized in the income statement,Automotive Division,Worldwide,8851,2012,€ million,4,4,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
Research and development costs recognized in the income statement,Automotive Division,Worldwide,7234,2011,€ million,4,5,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar15_page_093_table_00_kpis.json
