name,key,country,value,year,units,row_idx,col_idx,source_model,source_image,source
sales revenue,Passenger Cars,Worldwide,172868,2021,€ million,0,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_039_table_00_kpis.json
sales revenue,Passenger Cars,Worldwide,156311,2020,€ million,0,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_039_table_00_kpis.json
operating result,Passenger Cars,Worldwide,13051,2021,€ million,1,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_039_table_00_kpis.json
operating result,Passenger Cars,Worldwide,7224,2020,€ million,1,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_039_table_00_kpis.json
operating return on sales,Passenger Cars,Worldwide,7.5,2021,%,2,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_039_table_00_kpis.json
operating return on sales,Passenger Cars,Worldwide,4.6,2020,%,2,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_039_table_00_kpis.json
sales revenue,Commercial Vehicles,Worldwide,30092,2021,€ million,3,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_039_table_00_kpis.json
sales revenue,Commercial Vehicles,Worldwide,22156,2020,€ million,3,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_039_table_00_kpis.json
operating result,Commercial Vehicles,Worldwide,134,2021,€ million,4,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_039_table_00_kpis.json
operating result,Commercial Vehicles,Worldwide,-79,2020,€ million,4,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_039_table_00_kpis.json
operating return on sales,Commercial Vehicles,Worldwide,0.4,2021,%,5,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_039_table_00_kpis.json
operating return on sales,Commercial Vehicles,Worldwide,-0.4,2020,%,5,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_039_table_00_kpis.json
sales revenue,Power Engineering,Worldwide,3278,2021,€ million,6,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_039_table_00_kpis.json
sales revenue,Power Engineering,Worldwide,3640,2020,€ million,6,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_039_table_00_kpis.json
operating result,Power Engineering,Worldwide,45,2021,€ million,7,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_039_table_00_kpis.json
operating result,Power Engineering,Worldwide,-482,2020,€ million,7,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_039_table_00_kpis.json
operating return on sales,Power Engineering,Worldwide,1.4,2021,%,8,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_039_table_00_kpis.json
operating return on sales,Power Engineering,Worldwide,-13.2,2020,%,8,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_039_table_00_kpis.json
