name,key,country,value,year,units,row_idx,col_idx,source_model,source_image,source
gross cash flow,Volkswagen Passenger Cars,Worldwide,21808,2018,€ million,0,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar18_page_073_table_00_kpis.json
gross cash flow,Volkswagen Passenger Cars,Worldwide,19410,2017,€ million,0,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar18_page_073_table_00_kpis.json
change in working capital,Volkswagen Passenger Cars,Worldwide,-5938,2018,€ million,1,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar18_page_073_table_00_kpis.json
change in working capital,Volkswagen Passenger Cars,Worldwide,-10122,2017,€ million,1,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar18_page_073_table_00_kpis.json
cash flows from operating activities,Volkswagen Passenger Cars,Worldwide,15870,2018,€ million,2,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar18_page_073_table_00_kpis.json
cash flows from operating activities,Volkswagen Passenger Cars,Worldwide,9289,2017,€ million,2,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar18_page_073_table_00_kpis.json
cash flows from investing activities attributable to operating activities,Volkswagen Passenger Cars,Worldwide,-16194,2018,€ million,3,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar18_page_073_table_00_kpis.json
cash flows from investing activities attributable to operating activities,Volkswagen Passenger Cars,Worldwide,-15337,2017,€ million,3,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar18_page_073_table_00_kpis.json
net cash flow,Volkswagen Passenger Cars,Worldwide,-325,2018,€ million,4,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar18_page_073_table_00_kpis.json
net cash flow,Volkswagen Passenger Cars,Worldwide,-6048,2017,€ million,4,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management_report_vw_ar18_page_073_table_00_kpis.json
