name,key,country,value,year,units,row_idx,col_idx,source_model,source_image,source
Number of no-par value shares,Ordinary shares,Worldwide,295090,2021,thousands,0,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Number of no-par value shares,Ordinary shares,Worldwide,295090,2020,thousands,0,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Number of no-par value shares,Ordinary shares,Worldwide,295090,2019,thousands,0,3,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Number of no-par value shares,Ordinary shares,Worldwide,295090,2018,thousands,0,4,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Number of no-par value shares,Ordinary shares,Worldwide,295090,2017,thousands,0,5,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Number of no-par value shares,Preferred shares,Worldwide,206205,2021,thousands,1,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Number of no-par value shares,Preferred shares,Worldwide,206205,2020,thousands,1,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Number of no-par value shares,Preferred shares,Worldwide,206205,2019,thousands,1,3,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Number of no-par value shares,Preferred shares,Worldwide,206205,2018,thousands,1,4,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Number of no-par value shares,Preferred shares,Worldwide,206205,2017,thousands,1,5,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend per share,Ordinary shares,Worldwide,7.5,2021,€,2,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend per share,Ordinary shares,Worldwide,4.8,2020,€,2,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend per share,Ordinary shares,Worldwide,4.8,2019,€,2,3,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend per share,Ordinary shares,Worldwide,4.8,2018,€,2,4,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend per share,Ordinary shares,Worldwide,3.9,2017,€,2,5,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend per share,Preferred shares,Worldwide,7.56,2021,€,3,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend per share,Preferred shares,Worldwide,4.86,2020,€,3,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend per share,Preferred shares,Worldwide,4.86,2019,€,3,3,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend per share,Preferred shares,Worldwide,4.86,2018,€,3,4,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend per share,Preferred shares,Worldwide,3.96,2017,€,3,5,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend paid,Total,Worldwide,3772,2021,€ million,4,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend paid,Total,Worldwide,2419,2020,€ million,4,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend paid,Total,Worldwide,2419,2019,€ million,4,3,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend paid,Total,Worldwide,2419,2018,€ million,4,4,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend paid,Total,Worldwide,1967,2017,€ million,4,5,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend paid,Ordinary shares,Worldwide,2213,2021,€ million,5,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend paid,Ordinary shares,Worldwide,1416,2020,€ million,5,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend paid,Ordinary shares,Worldwide,1416,2019,€ million,5,3,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend paid,Ordinary shares,Worldwide,1416,2018,€ million,5,4,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend paid,Ordinary shares,Worldwide,1151,2017,€ million,5,5,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend paid,Preferred shares,Worldwide,1559,2021,€ million,6,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend paid,Preferred shares,Worldwide,1002,2020,€ million,6,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend paid,Preferred shares,Worldwide,1002,2019,€ million,6,3,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend paid,Preferred shares,Worldwide,1002,2018,€ million,6,4,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Dividend paid,Preferred shares,Worldwide,817,2017,€ million,6,5,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Closing price,Ordinary share,Worldwide,258.4,2021,€,7,1,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Closing price,Ordinary share,Worldwide,170.1,2020,€,7,2,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
Closing price,Ordinary share,Worldwide,173.25,2019,€,7,3,Qwen2.5-VL-72B-Instruct,table_00.png,divisions-vw-ar23/management-report-vw-ar21_page_032_table_00_kpis.json
